,Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA,DEMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,T3,TEMA,TRIMA,WMA
84,10-Jul-2020,195.15,196.5,194.0,194.35,194.35,16192017,3155770984.8,195.26,193.36,199.91,194.78,191.43,195.26,196.42,195.8,192.22,192.22,198.88,,193.05,195.58
85,13-Jul-2020,195.9,198.75,195.1,197.75,197.55,20298006,4001811111.15,195.17,193.64,200.04,194.55,191.47,195.17,199.48,196.5,193.39,193.39,197.75,,193.31,195.75
86,14-Jul-2020,197.4,199.5,192.75,196.25,195.9,18476313,3631936207.45,195.11,193.81,199.95,194.34,191.5,195.11,200.6,199.25,206.85,-206.85,196.97,,193.67,195.82
87,15-Jul-2020,196.35,200.0,194.5,198.85,198.7,23777901,4699300380.25,195.15,194.13,200.18,194.31,191.53,195.15,200.6,199.8,206.57,-206.57,196.78,199.26,194.11,196.06
88,16-Jul-2020,198.7,198.85,192.0,193.85,193.85,22144753,4285660630.3,194.95,194.12,199.76,194.62,191.56,194.95,200.35,199.42,206.29,-206.29,196.41,198.51,194.54,195.97
89,17-Jul-2020,193.3,195.4,193.0,194.35,194.05,14882855,2890497493.55,194.75,194.13,199.42,195.11,191.59,194.75,200.35,199.42,205.72,-205.72,195.88,197.93,194.95,195.93
90,20-Jul-2020,195.0,195.35,192.35,192.6,192.7,18918931,3651197208.85,194.59,194.03,198.89,195.56,191.6,194.59,199.72,199.42,205.17,-205.17,195.13,197.09,195.36,195.8
91,21-Jul-2020,192.1,194.2,191.5,192.3,192.25,28010738,5396441590.05,194.39,193.92,198.36,196.19,191.6,194.39,199.58,199.18,204.64,-204.64,194.28,196.29,195.75,195.65
92,22-Jul-2020,193.0,197.9,192.5,196.95,196.55,32572721,6389059323.95,194.31,194.12,198.45,196.78,191.64,194.31,199.58,199.18,203.86,-203.86,194.02,196.41,196.13,195.81
93,23-Jul-2020,197.65,201.5,196.8,201.2,200.7,31488140,6304293484.2,194.53,194.57,199.06,197.31,191.74,194.53,196.75,196.35,203.11,-203.11,194.79,197.29,196.47,196.26
94,24-Jul-2020,201.0,201.7,197.3,199.85,199.6,60185503,12014297473.75,194.72,194.91,199.43,197.62,191.82,194.72,196.75,196.35,202.42,-202.42,196.01,197.8,196.73,196.6
95,27-Jul-2020,200.5,200.5,195.15,195.8,196.4,22645709,4467045972.25,195.0,194.97,199.25,197.71,191.87,195.0,196.75,196.35,201.76,-201.76,196.79,197.5,196.92,196.67
96,28-Jul-2020,197.0,198.65,195.05,195.7,195.4,19287262,3791018159.25,195.37,195.02,199.06,197.73,191.94,195.37,196.75,196.35,201.15,-201.15,197.07,197.21,197.06,196.72
97,29-Jul-2020,193.45,198.2,193.4,196.8,196.7,14831635,2915526687.1,195.9,195.13,199.02,197.58,192.07,195.9,196.75,196.35,200.57,-200.57,197.12,197.15,197.16,196.81
98,30-Jul-2020,198.4,198.4,192.5,193.5,193.35,16315232,3186617962.3,196.11,195.03,198.57,197.21,192.08,196.11,196.75,196.35,200.02,-200.02,196.69,196.49,197.18,196.65
99,31-Jul-2020,193.5,196.95,193.5,194.1,194.15,16653836,3253984491.95,196.43,194.97,198.22,196.69,192.12,196.43,196.75,196.35,199.51,-199.51,196.06,196.01,197.17,196.52
