Date,Open,High,Low,Close,AveragePrice,Total Traded Quantity,Turnover,SMA,EMA
12-Oct-2020,170.5,175.2,170,172.45,172.2,66250654,11432272454.8,167.82,168.688212524568
13-Oct-2020,172.85,174.85,169.5,169.8,170.15,35685353,6151692739.6,168.07,169.858808583831
14-Oct-2020,170.55,171,167.05,167.7,167.8,38219096,6416173675.95,168.35,169.955872408633
15-Oct-2020,167.7,167.8,164.55,164.75,165.05,27116959,4499732664.6,167.96,169.237248128697
16-Oct-2020,165.5,166.8,163.8,165.85,165.7,20227113,3342300417.25,167.49,167.841498473315
19-Oct-2020,166.8,168.9,166.15,168.85,168.25,19016841,3186448399,166.98,167.12766550611
20-Oct-2020,168,168.3,166.7,167.7,167.45,16149041,2703495541.7,166.21,167.501777078896
21-Oct-2020,168.15,168.9,166.6,167.8,167.65,16479194,2765120049.6,165.65,167.484518049145
22-Oct-2020,167.55,169.1,167,168.8,168.55,22044453,3707548020.05,165.56,167.539678710462
23-Oct-2020,168.95,171,167.75,170.85,170.75,20147370,3419809712.65,166.05,167.876452540996
26-Oct-2020,171.5,171.6,168.25,168.5,168.55,16081502,2724497441.3,166.84,168.834301885567
27-Oct-2020,168.5,169.3,166.75,167.05,167.2,45885935,7693611623.8,167.26,168.739534571425
28-Oct-2020,168.5,168.5,165,165.5,165.5,16820839,2798113118.55,167.27,168.226356278314
29-Oct-2020,165,165.95,163.45,163.85,163.85,21008755,3458495110.45,166.95,167.317570670452
30-Oct-2020,164,166.8,163.35,165.4,165.25,16347510,2696296324.45,166.24,166.16171354913
02-Nov-2020,166.8,167.2,164.45,166.75,166.75,14370649,2384997341.15,165.36,165.857808971973
03-Nov-2020,167.2,170.75,167.1,170,170.1,22602903,3831457466.15,164.6,166.155206040794
04-Nov-2020,170.05,171.8,168.2,169.75,169.8,18808819,3199565312,164.67,167.470137623516
05-Nov-2020,171.25,175,170.2,175,174.75,26997641,4679743220.95,165.31,168.246758571001
06-Nov-2020,176.5,177.2,173.4,173.8,173.95,34252005,5983355505.8,166.66,170.41450614755
09-Nov-2020,173.95,177.3,171.85,173,172.8,35286484,6123004546.55,168.67,171.593004334066
10-Nov-2020,175,179.55,171.85,178.5,178.35,57459436,10071149303.45,170.15,171.995336303177
11-Nov-2020,179.6,185.9,178.6,185.2,185.3,63318644,11561331164.25,171.1,174.113557959096
12-Nov-2020,185.2,188.75,183.85,187.95,188,46367792,8659393253.25,173.18,177.842372718493
13-Nov-2020,187.2,188.8,185.55,187.15,187.1,28198725,5284734092.6,175.91,181.228249156171
14-Nov-2020,189.05,190,188.05,188.2,188.6,7767144,1467723366.9,178.34,183.185499828897
17-Nov-2020,189,189.4,186.4,187.7,187.35,20950589,3927318208.45,181.58,184.990333580231
18-Nov-2020,186.8,188.45,182.75,184.6,184.05,26595992,4916760096.55,184.49,185.776889210799
19-Nov-2020,182.8,191.8,182.7,188.05,187.9,48984610,9230922912.35,185.32,185.20125935874
20-Nov-2020,188.8,192,186.05,191.35,191.7,45307312,8611087716.45,185.09,186.100839752409
23-Nov-2020,192,192.5,188.65,190.85,190.85,23180456,4413518633.85,185.19,187.967226874884
24-Nov-2020,190.6,196.45,190.6,195.65,195.55,45411815,8838633717.5,185.31,188.928151442107
25-Nov-2020,196,197.95,192.5,193.4,193.85,41659179,8137368126.9,186.15,191.135434736195
26-Nov-2020,195.1,195.85,192.55,194.95,194.8,24222956,4701587403.1,188.1,192.040290005101
27-Nov-2020,194.45,195.75,193.2,193.5,193.65,31385396,6097929431.3,190.07,192.960193520715
01-Dec-2020,195,196.35,192.4,194.6,194.4,15893346,3093531102.45,191.5,193.190129059797
