,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
158,20090115,212.0,214.0,198.4,198.4,159867,160.85,154.87,136.33,180.0,135.75,171.23,171.23,179.28,179.28,135.75,196.89,201.03,131.04,155.01
159,20090116,188.5,188.5,188.5,188.5,11847,164.66,157.04,136.51,181.6,139.01,174.58,172.02,185.18,185.18,139.01,199.55,203.79,135.15,158.41
160,20090119,179.1,179.1,179.1,179.1,1815,166.92,158.46,136.4,181.24,141.92,178.1,175.4,208.8,-208.8,141.92,198.55,204.31,139.3,161.0
161,20090120,170.15,188.1,170.15,188.1,66711,170.08,160.37,136.04,182.27,145.02,179.25,175.4,208.21,-208.21,145.02,196.37,206.22,143.48,163.98
162,20090121,188.1,194.7,178.7,179.35,558968,171.82,161.6,135.96,181.94,147.67,179.62,176.9,206.68,-206.68,147.67,193.09,206.12,147.6,166.19
163,20090122,182.0,183.0,170.4,172.7,42125,172.55,162.31,136.65,181.15,149.94,183.4,177.4,205.22,-205.22,149.94,188.69,204.64,151.61,167.81
164,20090123,176.2,176.2,164.1,165.7,28137,172.31,162.53,137.81,180.17,151.82,187.25,185.15,203.82,-203.82,151.82,183.22,201.91,155.51,168.82
165,20090127,164.0,164.0,157.45,159.95,11323,171.36,162.37,138.87,179.07,153.56,184.38,183.12,201.44,-201.44,153.56,177.0,198.31,159.24,169.35
166,20090128,155.1,167.95,153.05,167.95,33361,171.48,162.73,139.78,178.32,155.63,184.38,180.92,197.92,-197.92,155.63,171.98,196.46,162.77,170.28
167,20090129,167.5,175.0,164.0,167.35,24228,171.49,163.02,140.92,177.62,157.6,184.38,180.92,193.43,-193.43,157.6,168.49,194.59,166.02,171.03
168,20090130,165.0,175.75,162.0,172.45,23790,172.12,163.63,142.88,177.24,159.81,184.38,180.92,189.39,-189.39,159.81,166.98,193.75,168.98,171.99
169,20090202,165.05,174.0,165.05,165.75,4581,171.84,163.77,145.55,176.44,161.97,184.38,180.92,185.76,-185.76,161.97,166.12,191.68,171.59,172.37
170,20090203,164.0,168.6,157.5,157.65,224205,170.55,163.37,148.51,175.51,163.71,183.23,180.92,182.49,-182.49,163.71,164.58,188.28,173.73,172.1
171,20090204,155.0,164.15,150.3,153.4,7570,168.84,162.73,151.86,174.68,165.13,175.9,174.35,179.54,-179.54,165.13,162.06,184.44,175.33,171.43
172,20090205,155.95,155.95,151.0,151.9,4619,167.1,162.03,155.57,173.96,166.34,170.2,169.4,176.03,-176.03,166.34,159.04,180.7,176.33,170.58
173,20090206,150.0,154.45,146.25,147.8,5852,164.99,161.11,159.74,173.39,167.23,167.95,167.18,172.95,-172.95,167.23,155.65,176.61,176.73,169.38
174,20090209,150.0,152.45,140.5,141.6,33519,162.31,159.86,163.77,173.01,167.71,164.85,164.3,169.21,-169.21,167.71,151.72,171.84,176.61,167.73
175,20090210,140.0,148.7,140.0,148.25,54416,160.7,159.11,166.76,172.71,168.2,160.48,159.68,164.62,-164.62,168.2,148.67,168.81,176.1,166.47
176,20090211,143.9,148.0,142.0,143.1,14390,158.6,158.07,168.31,172.55,168.29,157.15,156.35,160.18,-160.18,168.29,146.15,165.19,175.22,164.85
177,20090212,142.0,147.6,139.2,140.45,29563,156.36,156.94,169.04,172.31,168.06,156.45,155.82,156.55,-156.55,168.06,143.87,161.5,173.98,163.06
178,20090213,141.0,147.5,140.0,143.2,18624,154.68,156.05,169.04,172.09,167.84,156.45,155.82,153.08,-153.08,167.84,142.27,158.75,172.49,161.45
179,20090216,143.55,147.75,140.0,140.4,10653,152.82,155.04,168.48,171.8,167.51,156.43,155.82,150.3,-150.3,167.51,141.03,155.82,170.79,159.68
180,20090217,140.0,143.6,140.0,141.4,15709,151.26,154.16,167.55,171.37,166.95,156.43,155.82,148.08,-148.08,166.95,140.23,153.43,168.95,158.0
181,20090218,140.0,144.0,139.5,141.5,10190,149.86,153.34,166.3,170.71,166.14,156.43,155.82,146.31,-146.31,166.14,139.84,151.36,166.99,156.36
182,20090219,140.1,142.95,139.4,140.5,12153,148.48,152.52,164.22,169.68,165.02,153.07,152.48,144.89,-144.89,165.02,139.62,149.37,164.92,154.7
183,20090220,140.0,147.55,140.0,145.95,14955,147.93,152.09,161.87,168.98,164.01,149.02,148.43,139.2,139.2,164.01,140.16,148.62,162.76,153.47
