,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
666,20100507,1205.2,1220.0,1182.2,1191.15,1811023,1251.57,1206.42,1211.49,1189.72,1204.15,1233.3,1219.8,1179.2,1179.2,1204.15,1248.98,1253.91,1199.23,1221.06
667,20100510,1202.0,1258.9,1202.0,1249.45,1598755,1254.03,1209.19,1214.72,1191.58,1207.3,1235.38,1230.9,1182.2,1182.2,1207.3,1240.39,1255.92,1203.88,1223.98
668,20100511,1249.0,1278.9,1244.25,1259.35,1815840,1257.4,1212.43,1219.22,1193.05,1209.51,1235.38,1230.9,1182.2,1182.2,1209.51,1238.14,1259.3,1208.81,1227.34
669,20100512,1231.3,1298.0,1231.3,1289.9,1813674,1264.18,1217.43,1224.34,1195.94,1212.54,1240.53,1236.05,1186.1,1186.1,1212.54,1243.9,1267.61,1213.99,1232.53
670,20100513,1295.0,1320.0,1293.0,1311.55,1994635,1272.91,1223.5,1230.58,1202.11,1217.16,1251.35,1246.88,1192.32,1192.32,1217.16,1256.7,1278.62,1219.37,1238.91
671,20100514,1308.0,1312.8,1280.0,1295.75,3799625,1278.75,1228.16,1237.32,1206.42,1221.41,1251.35,1246.88,1201.86,1201.86,1221.41,1270.35,1285.18,1224.78,1243.98
672,20100517,1270.0,1277.1,1230.5,1262.2,3377258,1279.73,1230.36,1243.6,1207.91,1224.36,1251.35,1246.88,1210.64,1210.64,1224.36,1278.0,1284.62,1229.84,1246.62
673,20100518,1262.2,1269.7,1246.3,1254.7,3319599,1279.59,1231.93,1250.52,1208.97,1226.95,1251.35,1246.88,1218.71,1218.71,1226.95,1279.05,1282.55,1234.36,1248.57
674,20100519,1243.0,1244.0,1193.35,1205.05,2397393,1273.16,1230.19,1254.03,1208.93,1227.96,1251.35,1246.88,1311.55,-1311.55,1227.96,1270.11,1271.54,1238.27,1247.16
675,20100520,1206.0,1228.0,1182.25,1207.95,2308754,1267.61,1228.76,1255.33,1208.92,1229.42,1251.35,1246.88,1309.19,-1309.19,1229.42,1255.77,1262.24,1241.57,1245.87
676,20100521,1180.75,1223.0,1172.95,1215.65,1764687,1263.46,1227.91,1254.6,1209.02,1231.38,1251.35,1242.25,1304.11,-1304.11,1231.38,1241.44,1255.36,1244.18,1244.98
677,20100524,1215.65,1240.0,1190.3,1198.35,1017191,1257.48,1226.01,1251.92,1208.95,1231.88,1251.35,1242.25,1296.24,-1296.24,1231.88,1227.6,1246.08,1246.07,1242.85
678,20100525,1187.8,1189.0,1155.0,1163.9,1544617,1247.69,1222.0,1247.56,1208.68,1231.44,1237.72,1233.28,1288.84,-1288.84,1231.44,1211.57,1231.63,1247.27,1238.46
679,20100526,1170.0,1192.0,1150.05,1156.9,2861383,1237.91,1217.8,1241.48,1208.46,1231.42,1234.22,1230.8,1278.13,-1278.13,1231.42,1194.64,1217.65,1247.83,1233.65
680,20100527,1157.0,1222.0,1147.15,1215.8,2701512,1236.36,1217.67,1236.67,1208.58,1233.67,1234.22,1229.35,1265.33,-1265.33,1233.67,1186.14,1216.08,1247.96,1232.65
681,20100528,1225.0,1238.0,1205.8,1225.35,1549420,1236.11,1218.17,1233.46,1208.89,1236.24,1234.22,1229.35,1251.14,-1251.14,1236.24,1186.53,1216.45,1247.87,1232.11
682,20100531,1215.8,1238.0,1210.1,1232.35,932554,1236.73,1219.08,1232.99,1209.31,1238.67,1234.22,1229.35,1238.67,-1238.67,1238.67,1193.21,1218.05,1247.53,1231.86
683,20100601,1235.0,1238.0,1177.0,1181.7,1786082,1230.92,1216.67,1231.65,1209.17,1238.49,1234.22,1229.35,1232.35,-1232.35,1238.49,1196.64,1210.27,1246.5,1228.18
684,20100602,1195.0,1206.95,1168.5,1201.15,1307410,1228.06,1215.67,1227.64,1209.1,1237.29,1226.32,1221.45,1232.35,-1232.35,1237.29,1198.33,1207.01,1244.79,1225.77
685,20100603,1211.0,1248.0,1211.0,1242.3,1482919,1230.59,1217.39,1222.83,1209.31,1237.86,1209.55,1204.68,1147.15,1147.15,1237.86,1203.95,1211.65,1242.58,1226.1
686,20100604,1240.0,1258.0,1240.0,1245.45,1454459,1233.24,1219.2,1218.11,1209.5,1238.18,1205.8,1200.93,1149.05,1149.05,1238.18,1212.82,1216.31,1239.8,1226.59
687,20100607,1218.6,1225.0,1196.0,1214.8,1424594,1231.79,1218.91,1214.12,1209.59,1236.02,1201.18,1196.3,1152.91,1152.91,1236.02,1219.02,1214.85,1236.57,1225.08
